Solar Spectrum file	
Wavelength	Solar ET
300	0.4166
301	0.4665
302	0.4519
303	0.6102
304	0.63285
305	0.6605
306	0.5773
307	0.61495
308	0.6539
309	0.62105
310	0.48905
311	0.769
312	0.703
313	0.70375
314	0.75915
315	0.67315
316	0.599
317	0.7426
318	0.757
319	0.7175
320	0.7596
321	0.81135
322	0.74475
323	0.6706
324	0.73205
325	0.8052
326	0.99655
327	1.0029
328	0.9744
329	0.9686
330	1.1505
331	0.98875
332	0.99375
333	0.97555
334	0.92905
335	0.99685
336	0.9058
337	0.82875
338	0.9128
339	0.9856
340	1.0355
341	0.99
342	0.974
343	1.03715
344	0.8917
345	0.8748
346	0.941
347	1.0103
348	0.90055
349	0.92335
350	0.9785
351	1.076
352	1.0169
353	0.9265
354	1.1225
355	1.155
356	1.061
357	0.84405
358	0.83645
359	0.7562
360	1.155
361	0.90555
362	0.92115
363	1.1145
364	1.0736
365	1.0155
366	1.3195
367	1.2535
368	1.2
369	1.171
370	1.3345
371	1.1015
372	1.1816
373	1.1365
374	0.9113
375	0.87895
376	1.181
377	1.1395
378	1.425
379	1.2775
380	1.0755
381	1.325
382	0.9884
383	0.75995
384	0.7377
385	1.1305
386	0.9703
387	1.0735
388	1.0505
389	1.03395
390	1.2995
391	1.301
392	1.3195
393	0.83845
394	0.6592
395	1.245
396	1.296
397	0.614
398	1.283
399	1.608
400	1.727
401	1.769
402	1.861
403	1.763
404	1.733
405	1.73
406	1.697
407	1.665
408	1.729
409	1.847
410	1.61
411	1.74
412	1.863
413	1.816
414	1.834
415	1.834
416	1.861
417	1.813
418	1.777
419	1.797
420	1.787
421	1.866
422	1.771
423	1.727
424	1.825
425	1.818
426	1.765
427	1.73
428	1.684
429	1.59
430	1.389
431	1.377
432	1.773
433	1.78
434	1.652
435	1.725
436	1.938
437	1.906
438	1.732
439	1.795
440	1.848
441	1.91
442	2.046
443	1.995
444	2.034
445	1.991
446	1.894
447	2.042
448	2.077
449	2.077
450	2.131
451	2.208
452	2.125
453	1.996
454	2.079
455	2.091
456	2.138
457	2.172
458	2.1
459	2.086
460	2.092
461	2.138
462	2.15
463	2.136
464	2.095
465	2.063
466	2.079
467	2.043
468	2.066
469	2.076
470	2.01
471	2.006
472	2.114
473	2.087
474	2.094
475	2.116
476	2.058
477	2.067
478	2.121
479	2.103
480	2.102
481	2.135
482	2.14
483	2.108
484	2.062
485	1.962
486	1.712
487	1.791
488	1.965
489	1.973
490	2.072
491	2.033
492	1.919
493	1.981
494	2
495	2.016
496	2.028
497	2.059
498	1.962
499	1.988
500	1.932
501	1.899
502	1.878
503	1.961
504	1.933
505	1.983
506	2.048
507	1.948
508	1.881
509	1.929
510	1.915
511	1.962
512	1.981
513	1.874
514	1.859
515	1.84
516	1.836
517	1.63
518	1.714
519	1.798
520	1.864
521	1.882
522	1.885
523	1.852
524	1.921
525	1.948
526	1.862
527	1.758
528	1.862
529	1.965
530	1.938
531	1.968
532	1.901
533	1.845
534	1.898
535	1.937
536	1.953
537	1.874
538	1.906
539	1.89
540	1.813
541	1.831
542	1.891
543	1.866
544	1.903
545	1.896
546	1.909
547	1.904
548	1.879
549	1.883
550	1.905
551	1.881
552	1.894
553	1.861
554	1.906
555	1.911
556	1.887
557	1.83
558	1.819
559	1.788
560	1.812
561	1.838
